['wwwww', 'x', 'wwww', 'xxx', 'xxxxxx', 'xxxxxxxx', 'wwwwwww', 'w', 'ww', 'xxxx', 'xx', 'xxxxxxx', 'xxxxx', 'wwwwwwww', 'www', 'wwwwww']
['UUUUUU', 'UUUU', 'VVV', 'VVVVVVVV', 'U', 'UU', 'V', 'UUUUUUU', 'UUUUU', 'VV', 'VVVVV', 'VVVVVVV', 'VVVVVV', 'UUUUUUUU', 'UUU', 'VVVV']
['TTTTTTTT', 'S', 'SSS', 'SS', 'SSSSS', 'SSSSSSSS', 'SSSSSSS', 'TTTTTT', 'SSSSSS', 'TTTTTTT', 'TTTT', 'SSSS', 'TTT', 'TT', 'TTTTT', 'T']
['CCCCCCCC', 'DDDDDDD', 'C', 'CCCCCCC', 'DDDDDD', 'CCCCC', 'DD', 'CCCC', 'DDDDD', 'DDDD', 'CCC', 'DDDDDDDD', 'D', 'CC', 'CCCCCC', 'DDD']
['ttttt', 'ttt', 'ttttttt', 'tt', 'tttt', 'ss', 'ssssssss', 'sssssss', 'sss', 's', 'sssss', 'ssssss', 'ssss', 'tttttttt', 't', 'tttttt']
['qq', 'q', 'rrrrrrrr', 'rrrr', 'r', 'rr', 'rrrrr', 'qqqqqqqq', 'qqqq', 'qqqqqqq', 'rrrrrr', 'rrr', 'qqq', 'qqqqq', 'qqqqqq', 'rrrrrrr']
['ooooooo', 'ppppppp', 'ooooo', 'pppp', 'oooooooo', 'pp', 'oooooo', 'oooo', 'pppppppp', 'oo', 'ooo', 'ppp', 'pppppp', 'p', 'o', 'ppppp']
['gggggg', 'g', 'h', 'hhhhhhhh', 'ggg', 'hhhhhhh', 'hhhhh', 'ggggggg', 'hhhh', 'hhhhhh', 'hh', 'ggggg', 'hhh', 'gggggggg', 'gg', 'gggg']
['66666666', '55555', '66666', '666666', '6', '555', '6666666', '5555', '5', '555555', '5555555', '666', '55555555', '6666', '66', '55']
['33', '3333333', '444', '44', '4444', '444444', '333333', '33333', '44444444', '44444', '333', '33333333', '3', '4444444', '4', '3333']
['Z', 'YYYY', 'ZZZZ', 'ZZZ', 'YYYYYYY', 'Y', 'YYYYY', 'YY', 'ZZ', 'YYYYYYYY', 'ZZZZZZZZ', 'YYYYYY', 'ZZZZZ', 'ZZZZZZ', 'YYY', 'ZZZZZZZ']
['MM', 'NNN', 'NNNNNNNN', 'MMMMM', 'MMMMMMMM', 'MMMM', 'MMMMMM', 'NNNNN', 'NNNNNNN', 'MMMMMMM', 'N', 'NNNN', 'NN', 'MMM', 'NNNNNN', 'M']
['K', 'LLLLLL', 'LL', 'KKK', 'KKKK', 'KKKKK', 'LLL', 'LLLL', 'KKKKKKKK', 'LLLLLLL', 'LLLLL', 'KKKKKK', 'KK', 'LLLLLLLL', 'KKKKKKK', 'L']
['EEEEEE', 'EEEEEEEE', 'FFFF', 'EEEEEEE', 'FFFFFFFF', 'FFFFFF', 'FFF', 'EEEE', 'FF', 'EEEEE', 'EE', 'FFFFFFF', 'E', 'EEE', 'FFFFF', 'F']
['AAA', 'AAAAAAA', 'BBBB', 'BB', 'AAAA', 'AAAAAAAA', 'AAAAAA', 'BBB', 'BBBBB', 'B', 'BBBBBBB', 'AAAAA', 'BBBBBBBB', 'A', 'AA', 'BBBBBB']
['aaaaaaa', 'bbbbbbbb', 'aaa', 'aa', 'bbbb', 'bbbbbb', 'aaaaa', 'aaaaaaaa', 'bbb', 'b', 'bbbbb', 'bb', 'bbbbbbb', 'aaaaaa', 'a', 'aaaa']
['e', 'eee', 'ffffffff', 'eeeeeeee', 'eeee', 'eeeeee', 'eeeeeee', 'fffffff', 'ff', 'ee', 'ffffff', 'ffff', 'fffff', 'fff', 'eeeee', 'f']
