['Vertex412', 'Vertex388', 'Vertex162', 'Vertex142', 'Vertex293', 'Vertex243', 'Vertex98', 'Vertex268', 'Vertex401', 'Vertex236']
['Vertex80', 'Vertex410', 'Vertex304', 'Vertex431', 'Vertex398', 'Vertex413', 'Vertex89', 'Vertex155', 'Vertex399', 'Vertex56']
['Vertex175', 'Vertex436', 'Vertex61', 'Vertex178', 'Vertex109', 'Vertex392', 'Vertex312', 'Vertex315', 'Vertex135', 'Vertex351']
['Vertex370', 'Vertex47', 'Vertex160', 'Vertex261', 'Vertex48', 'Vertex333', 'Vertex203', 'Vertex389', 'Vertex139', 'Vertex131']
['Vertex305', 'Vertex193', 'Vertex159', 'Vertex77', 'Vertex334', 'Vertex380', 'Vertex67', 'Vertex283', 'Vertex417', 'Vertex358']
['Vertex204', 'Vertex177', 'Vertex246', 'Vertex86', 'Vertex255', 'Vertex427', 'Vertex234', 'Vertex382', 'Vertex200', 'Vertex143']
['Vertex325', 'Vertex366', 'Vertex290', 'Vertex147', 'Vertex360', 'Vertex153', 'Vertex298', 'Vertex367', 'Vertex137', 'Vertex197']
['Vertex327', 'Vertex402', 'Vertex337', 'Vertex322', 'Vertex156', 'Vertex99', 'Vertex95', 'Vertex100', 'Vertex385', 'Vertex311']
['Vertex381', 'Vertex168', 'Vertex423', 'Vertex285', 'Vertex316', 'Vertex88', 'Vertex332', 'Vertex346', 'Vertex309', 'Vertex252']
['Vertex97', 'Vertex169', 'Vertex222', 'Vertex136', 'Vertex150', 'Vertex297', 'Vertex102', 'Vertex42', 'Vertex264', 'Vertex288']
['Vertex378', 'Vertex266', 'Vertex259', 'Vertex320', 'Vertex149', 'Vertex291', 'Vertex363', 'Vertex303', 'Vertex265', 'Vertex244']
['Vertex282', 'Vertex141', 'Vertex227', 'Vertex180', 'Vertex421', 'Vertex128', 'Vertex400', 'Vertex314', 'Vertex65', 'Vertex233']
['Vertex407', 'Vertex124', 'Vertex83', 'Vertex300', 'Vertex106', 'Vertex391', 'Vertex201', 'Vertex278', 'Vertex74', 'Vertex335']
['Vertex326', 'Vertex119', 'Vertex189', 'Vertex166', 'Vertex245', 'Vertex377', 'Vertex117', 'Vertex215', 'Vertex157', 'Vertex66']
['Vertex171', 'Vertex422', 'Vertex220', 'Vertex270', 'Vertex373', 'Vertex173', 'Vertex258', 'Vertex329', 'Vertex123', 'Vertex219']
['Vertex306', 'Vertex232', 'Vertex176', 'Vertex125', 'Vertex277', 'Vertex250', 'Vertex72', 'Vertex225', 'Vertex164', 'Vertex365']
['Vertex254', 'Vertex55', 'Vertex357', 'Vertex235', 'Vertex190', 'Vertex307', 'Vertex348', 'Vertex209', 'Vertex356', 'Vertex324']
['Vertex437', 'Vertex144', 'Vertex140', 'Vertex296', 'Vertex194', 'Vertex104', 'Vertex167', 'Vertex44', 'Vertex199', 'Vertex76']
['Vertex414', 'Vertex361', 'Vertex308', 'Vertex45', 'Vertex73', 'Vertex195', 'Vertex426', 'Vertex132', 'Vertex280', 'Vertex240']
