['MadameShadowTheMightyVampireEater', 'MasterTrinityTheHeroicDragonMaker', 'LordBeetleTheMightyMonsterMaker', 'LordJellyTheBraveDragonEater', 'DuchessSushiTheTrueMonsterFinder', 'MadameJellyTheGreatVampireFinder', 'MadameJellyTheBraveDragonHunter', 'DuchessShadowTheMightyVampireFinder', 'LordTrinityTheMightyDragonEater', 'SirJellyTheTrueVampireSniffer', 'QueenFluffyTheTrueZombieHunter', 'SirBarneyTheMightyRobotSniffer', 'SirShadowTheMightyMonsterSniffer', 'DuchessBeetleTheTrueZombieEater', 'DuchessTrinityTheGreatMonsterFinder', 'SirJellyTheBraveZombieFinder', 'MadameBarneyTheTrueMonsterFinder', 'MasterBeetleTheMightyVampireMaker', 'DukeBeetleTheHeroicMonsterFinder', 'DukeJellyTheHeroicRobotHunter']
['SirFluffyTheTrueZombieHunter', 'SirTrinityTheBraveRobotHunter', 'DukeBeetleTheHeroicVampireFinder', 'MasterTrinityTheHeroicMonsterSniffer', 'SirShadowTheMightyDragonMaker', 'SirJellyTheBraveRobotHunter', 'SirShadowTheBraveZombieFinder', 'MasterJellyTheHeroicRobotHunter', 'MadameTrinityTheBraveMonsterSniffer', 'LordBarneyTheHeroicRobotSniffer', 'SirBeetleTheTrueRobotHunter', 'LordJellyTheGreatRobotHunter', 'MasterShadowTheBraveRobotEater', 'DuchessTrinityTheTrueDragonEater', 'MasterTrinityTheBraveMonsterEater', 'MadameFluffyTheHeroicVampireMaker', 'QueenTrinityTheBraveZombieFinder', 'LordBeetleTheMightyZombieFinder', 'QueenSushiTheHeroicVampireMaker', 'DuchessBeetleTheGreatMonsterEater']
['DuchessSushiTheGreatVampireEater', 'QueenBeetleTheMightyRobotMaker', 'MadameFluffyTheTrueVampireFinder', 'MasterTrinityTheBraveDragonHunter', 'DuchessBeetleTheMightyMonsterEater', 'MasterSushiTheHeroicZombieHunter', 'LordSushiTheHeroicRobotMaker', 'QueenBarneyTheMightyDragonSniffer', 'LordTrinityTheTrueZombieHunter', 'DuchessJellyTheTrueDragonHunter', 'QueenBarneyTheMightyZombieHunter', 'DuchessBarneyTheMightyVampireHunter', 'SirBarneyTheTrueDragonMaker', 'DuchessSushiTheTrueMonsterSniffer', 'LordFluffyTheMightyDragonSniffer', 'MadameJellyTheTrueMonsterHunter', 'DukeShadowTheMightyRobotEater', 'MadameShadowTheGreatRobotHunter', 'MasterJellyTheHeroicMonsterHunter', 'SirFluffyTheMightyZombieMaker']
['QueenTrinityTheHeroicVampireMaker', 'LordShadowTheBraveRobotMaker', 'MadameSushiTheMightyRobotMaker', 'LordSushiTheBraveDragonSniffer', 'DuchessFluffyTheGreatRobotEater', 'MasterShadowTheTrueZombieEater', 'MadameBarneyTheGreatRobotEater', 'DuchessJellyTheMightyDragonMaker', 'MasterFluffyTheMightyRobotEater', 'DukeBeetleTheTrueZombieFinder', 'MasterFluffyTheGreatDragonEater', 'QueenBarneyTheGreatVampireEater', 'LordFluffyTheMightyRobotSniffer', 'LordSushiTheMightyZombieFinder', 'SirBeetleTheBraveZombieMaker', 'DukeShadowTheBraveRobotEater', 'MasterTrinityTheMightyVampireMaker', 'MadameSushiTheMightyDragonSniffer', 'LordBarneyTheBraveDragonSniffer', 'DukeSushiTheGreatDragonSniffer']
['MasterTrinityTheHeroicZombieMaker', 'MadameJellyTheTrueZombieHunter', 'DuchessBarneyTheBraveMonsterHunter', 'QueenBarneyTheMightyRobotFinder', 'DuchessBeetleTheMightyMonsterFinder', 'MadameFluffyTheTrueZombieFinder', 'QueenShadowTheBraveVampireMaker', 'DuchessShadowTheTrueVampireFinder', 'SirBeetleTheTrueMonsterMaker', 'QueenSushiTheMightyMonsterEater', 'MadameBarneyTheGreatMonsterSniffer', 'MadameShadowTheGreatVampireFinder', 'QueenBarneyTheGreatVampireSniffer', 'MadameShadowTheMightyZombieFinder', 'QueenTrinityTheHeroicDragonHunter', 'MadameBarneyTheMightyZombieEater', 'SirShadowTheTrueMonsterEater', 'SirFluffyTheTrueMonsterFinder', 'QueenBarneyTheMightyZombieMaker', 'MasterSushiTheHeroicRobotSniffer']
['DuchessFluffyTheTrueRobotFinder', 'DukeJellyTheGreatMonsterFinder', 'SirBarneyTheTrueVampireEater', 'QueenFluffyTheHeroicMonsterMaker', 'DuchessTrinityTheGreatVampireFinder', 'DukeTrinityTheBraveRobotEater', 'SirBarneyTheHeroicRobotSniffer', 'DuchessFluffyTheGreatDragonEater', 'MasterShadowTheMightyMonsterSniffer', 'DukeBeetleTheHeroicVampireSniffer', 'LordSushiTheHeroicRobotEater', 'LordBarneyTheBraveRobotFinder', 'MasterJellyTheHeroicZombieEater', 'DukeBarneyTheGreatVampireHunter', 'SirSushiTheTrueZombieFinder', 'SirShadowTheGreatZombieSniffer', 'QueenJellyTheHeroicVampireHunter', 'SirJellyTheTrueVampireFinder', 'DuchessFluffyTheGreatZombieSniffer', 'MasterBeetleTheGreatDragonSniffer']
['SirBeetleTheGreatZombieEater', 'MasterBarneyTheHeroicDragonEater', 'QueenBeetleTheGreatDragonMaker', 'DukeJellyTheHeroicRobotSniffer', 'SirSushiTheBraveDragonMaker', 'MasterSushiTheHeroicRobotHunter', 'LordJellyTheMightyRobotEater', 'DuchessBeetleTheTrueDragonFinder', 'QueenBarneyTheGreatRobotFinder', 'QueenJellyTheHeroicZombieSniffer', 'QueenShadowTheTrueVampireSniffer', 'DukeFluffyTheTrueVampireMaker', 'QueenTrinityTheBraveMonsterFinder', 'MasterJellyTheMightyZombieEater', 'DuchessShadowTheHeroicZombieFinder', 'SirTrinityTheHeroicVampireFinder', 'LordFluffyTheBraveVampireHunter', 'QueenTrinityTheBraveMonsterHunter', 'LordFluffyTheGreatMonsterFinder', 'LordSushiTheHeroicVampireMaker']
['LordJellyTheBraveVampireSniffer', 'MadameBeetleTheHeroicDragonFinder', 'MasterSushiTheMightyZombieHunter', 'SirBarneyTheTrueZombieEater', 'SirTrinityTheTrueMonsterMaker', 'MadameSushiTheGreatRobotFinder', 'SirJellyTheTrueDragonHunter', 'DukeJellyTheBraveZombieFinder', 'DuchessBeetleTheTrueZombieHunter', 'DuchessJellyTheHeroicVampireHunter', 'QueenTrinityTheMightyMonsterHunter', 'MasterBarneyTheTrueMonsterMaker', 'MadameBeetleTheTrueMonsterSniffer', 'DukeShadowTheBraveRobotHunter', 'MasterBeetleTheMightyDragonMaker', 'MadameTrinityTheBraveZombieEater', 'DuchessJellyTheHeroicVampireMaker', 'DukeTrinityTheGreatMonsterEater', 'MasterBeetleTheTrueMonsterFinder', 'MasterFluffyTheBraveRobotHunter']
['DukeJellyTheMightyDragonFinder', 'DukeJellyTheHeroicDragonHunter', 'QueenBarneyTheMightyMonsterEater', 'DukeFluffyTheMightyZombieHunter', 'MasterFluffyTheMightyMonsterMaker', 'LordFluffyTheGreatDragonHunter', 'SirBarneyTheGreatRobotEater', 'MasterTrinityTheGreatMonsterSniffer', 'MadameShadowTheGreatZombieMaker', 'MadameBeetleTheBraveVampireFinder', 'SirTrinityTheMightyMonsterSniffer', 'MasterBarneyTheGreatRobotEater', 'MasterBeetleTheMightyVampireSniffer', 'QueenBeetleTheTrueRobotEater', 'QueenTrinityTheGreatDragonHunter', 'MadameSushiTheMightyVampireHunter', 'MasterBeetleTheHeroicRobotFinder', 'SirBeetleTheGreatZombieFinder', 'MasterFluffyTheTrueDragonFinder', 'MadameJellyTheHeroicDragonEater']
['MasterBarneyTheGreatDragonEater', 'QueenSushiTheTrueVampireMaker', 'MadameTrinityTheGreatZombieEater', 'LordJellyTheBraveVampireHunter', 'MadameJellyTheHeroicZombieEater', 'MasterSushiTheTrueZombieFinder', 'DuchessShadowTheTrueZombieSniffer', 'MasterFluffyTheTrueMonsterEater', 'LordShadowTheBraveVampireHunter', 'MasterSushiTheTrueMonsterEater', 'LordFluffyTheMightyMonsterSniffer', 'QueenJellyTheGreatMonsterFinder', 'MasterShadowTheHeroicVampireSniffer', 'QueenBeetleTheBraveVampireFinder', 'DukeBeetleTheHeroicZombieMaker', 'SirFluffyTheBraveRobotHunter', 'LordJellyTheTrueDragonEater', 'QueenJellyTheGreatRobotMaker', 'SirBeetleTheHeroicMonsterEater', 'MadameBarneyTheBraveVampireSniffer']
['SirBeetleTheHeroicDragonHunter', 'MadameJellyTheMightyZombieMaker', 'DukeBeetleTheMightyRobotHunter', 'DukeShadowTheBraveVampireHunter', 'MasterBarneyTheTrueDragonFinder', 'LordFluffyTheGreatVampireSniffer', 'MasterTrinityTheMightyMonsterMaker', 'SirShadowTheMightyRobotSniffer', 'MadameShadowTheHeroicMonsterMaker', 'SirShadowTheBraveRobotHunter', 'QueenBeetleTheBraveZombieFinder', 'MadameShadowTheGreatDragonEater', 'MasterShadowTheGreatRobotHunter', 'SirFluffyTheGreatMonsterHunter', 'MasterFluffyTheBraveVampireFinder', 'SirJellyTheHeroicVampireEater', 'SirBeetleTheBraveZombieEater', 'DukeJellyTheTrueMonsterMaker', 'QueenTrinityTheTrueMonsterMaker', 'SirFluffyTheHeroicZombieSniffer']
['DuchessBarneyTheBraveMonsterMaker', 'DukeShadowTheTrueMonsterEater', 'MasterJellyTheTrueDragonMaker', 'QueenBarneyTheHeroicZombieHunter', 'MasterBeetleTheHeroicRobotMaker', 'SirTrinityTheGreatRobotMaker', 'DuchessShadowTheHeroicVampireSniffer', 'DukeJellyTheTrueRobotFinder', 'MadameJellyTheTrueVampireHunter', 'DukeJellyTheBraveVampireFinder', 'MadameTrinityTheBraveZombieSniffer', 'QueenSushiTheMightyVampireEater', 'SirTrinityTheBraveMonsterHunter', 'QueenJellyTheHeroicRobotHunter', 'SirFluffyTheTrueRobotHunter', 'MadameBarneyTheMightyVampireMaker', 'MadameJellyTheBraveVampireEater', 'QueenShadowTheBraveRobotEater', 'MasterTrinityTheMightyRobotSniffer', 'DuchessBeetleTheTrueZombieSniffer']
['DukeShadowTheHeroicDragonEater', 'MasterFluffyTheMightyZombieHunter', 'MadameTrinityTheHeroicMonsterEater', 'QueenBeetleTheGreatMonsterFinder', 'QueenShadowTheTrueMonsterFinder', 'DuchessSushiTheGreatVampireFinder', 'QueenBeetleTheHeroicMonsterSniffer', 'QueenTrinityTheGreatMonsterHunter', 'LordFluffyTheMightyVampireSniffer', 'DukeSushiTheTrueDragonFinder', 'LordSushiTheBraveZombieSniffer', 'MasterBarneyTheTrueVampireEater', 'MasterSushiTheBraveRobotEater', 'QueenBarneyTheBraveMonsterHunter', 'DukeSushiTheMightyVampireEater', 'DukeJellyTheBraveZombieEater', 'DuchessBarneyTheBraveMonsterEater', 'QueenJellyTheMightyZombieFinder', 'MasterBarneyTheHeroicVampireMaker', 'MasterFluffyTheHeroicMonsterEater']
['DuchessBarneyTheTrueDragonMaker', 'SirSushiTheTrueDragonMaker', 'DukeTrinityTheGreatDragonEater', 'DukeBarneyTheHeroicRobotFinder', 'DukeShadowTheBraveRobotFinder', 'SirBeetleTheMightyVampireFinder', 'DukeShadowTheHeroicVampireHunter', 'DukeTrinityTheGreatDragonFinder', 'QueenTrinityTheBraveRobotSniffer', 'MadameSushiTheBraveRobotSniffer', 'LordShadowTheBraveVampireFinder', 'LordFluffyTheGreatMonsterHunter', 'DukeShadowTheGreatMonsterEater', 'DuchessBarneyTheTrueDragonHunter', 'MasterShadowTheMightyZombieEater', 'QueenJellyTheBraveMonsterMaker', 'LordJellyTheTrueMonsterMaker', 'DuchessFluffyTheGreatRobotHunter', 'DuchessFluffyTheBraveVampireSniffer', 'SirJellyTheHeroicZombieEater']
['DuchessBarneyTheBraveZombieMaker', 'DuchessFluffyTheMightyRobotMaker', 'MadameJellyTheGreatZombieMaker', 'LordFluffyTheGreatZombieHunter', 'MasterFluffyTheTrueMonsterFinder', 'DuchessBarneyTheMightyMonsterSniffer', 'DukeTrinityTheGreatDragonHunter', 'DuchessBarneyTheGreatMonsterFinder', 'DukeTrinityTheBraveMonsterMaker', 'QueenTrinityTheHeroicRobotSniffer', 'LordSushiTheBraveVampireEater', 'LordShadowTheHeroicDragonSniffer', 'QueenSushiTheTrueVampireEater', 'DukeBarneyTheHeroicRobotHunter', 'LordJellyTheBraveMonsterFinder', 'SirTrinityTheMightyVampireEater', 'SirJellyTheGreatZombieMaker', 'DukeSushiTheTrueVampireMaker', 'LordShadowTheBraveZombieSniffer']
