['336', '331', '140']
['758', '690', '123']
['808', '991', '125']
['705', '616', '174']
['748', '193', '134']
['819', '833', '795']
['960', '728', '322']
['925', '149', '934']
['141', '129', '9']
['624', '587', '528']
['621', '166', '643']
['90', '770', '761']
['837', '569', '452']
['255', '399', '144']
['427', '749', '217']
['501', '885', '338']
['172', '355', '499']
['395', '273', '898']
['133', '151', '694']
['131', '796', '330']
['899', '525', '805']
['984', '582', '265']
['904', '563', '179']
['645', '891', '229']
['671', '953', '403']
['394', '347', '946']
['78', '124', '868']
['22', '99', '823']
['689', '665', '432']
['245', '270', '236']
['585', '80', '218']
['760', '227', '512']
['404', '787', '538']
['343', '915', '584']
['185', '213', '913']
['509', '870', '340']
['667', '246', '747']
['600', '561', '353']
['276', '187', '34']
['120', '281', '598']
['455', '544', '922']
['289', '802', '176']
['453', '214', '577']
['777', '880', '647']
['83', '835', '776']
['601', '71', '567']
['613', '848', '886']
['456', '163', '502']
['117', '223', '546']
['23', '258', '648']
['349', '118', '838']
['150', '888', '623']
['997', '487', '337']
['757', '990', '693']
['543', '650', '33']
['59', '940', '511']
['207', '494', '465']
['186', '810', '14']
['554', '438', '850']
['642', '442', '876']
['680', '241', '271']
['190', '675', '157']
['484', '860', '415']
['294', '201', '243']
['530', '945', '192']
['914', '238', '173']
['746', '831', '516']
['588', '445', '84']
['676', '745', '248']
['458', '830', '518']
['928', '119', '239']
['256', '847', '291']
['463', '839', '849']
['993', '86', '379']
['568', '636', '288']
['640', '644', '418']
['205', '169', '5']
['220', '944', '827']
['969', '254', '102']
['955', '942', '268']
['225', '159', '380']
['708', '240', '263']
['792', '472', '3']
['130', '325', '493']
['752', '321', '896']
['302', '30', '539']
['36', '938']
['798', '100']
