['756', '331', '142', '826', '233', '173', '19', '284', '389', '307', '301', '728', '794', '425', '835', '499', '586', '504', '10', '455', '428', '832', '768', '253', '902', '524', '44', '627', '609', '864', '169', '45', '997']
['565', '308', '70', '653', '272', '614', '994', '338', '306', '556', '842', '691', '744', '379', '159', '680', '784', '357', '683', '802', '605', '51', '97', '700', '566', '896', '721', '970', '374', '206', '140', '448', '759']
['163', '274', '857', '959', '157', '884', '774', '339', '80', '249', '739', '574', '89', '136', '61', '871', '384', '697', '918', '619', '551', '437', '801', '638', '238', '889', '684', '33', '396', '164', '133', '243', '470']
['751', '211', '340', '466', '763', '527', '707', '230', '877', '221', '419', '799', '483', '183', '382', '186', '738', '983', '866', '187', '286', '365', '598', '68', '216', '743', '477', '998', '373', '50', '24', '795', '672']
['767', '503', '765', '160', '150', '283', '581', '780', '26', '595', '747', '372', '440', '573', '179', '309', '20', '457', '16', '101', '69', '582', '290', '388', '317', '528', '987', '710', '954', '711', '577', '868', '882']
['557', '167', '725', '311', '145', '996', '201', '480', '798', '534', '878', '77', '865', '154', '244', '361', '111', '43', '544', '742', '702', '782', '344', '603', '820', '925', '310', '663', '149', '268', '716', '341', '628']
['360', '988', '590', '818', '887', '293', '262', '231', '184', '476', '155', '137', '364', '624', '462', '789', '848', '174', '681', '152', '413', '199', '965', '948', '196', '465', '735', '22', '649', '168', '530', '118', '170']
['430', '329', '53', '625', '678', '537', '454', '492', '529', '445', '712', '342', '921', '303', '85', '486', '75', '315', '257', '47', '304', '785', '285', '222', '762', '191', '856', '733', '633', '438', '436', '912', '366']
['73', '439', '176', '846', '828', '271', '776', '368', '493', '17', '34', '242', '973', '559', '41', '214', '4', '639', '631', '931', '591', '158', '790', '288', '520', '804', '911', '497', '223', '269', '23', '827']
['589', '922', '210', '961', '945', '917', '620', '646', '29', '333', '758', '66', '65', '236', '786', '562', '456', '194', '510', '808', '979', '441', '891', '337', '40', '888', '913', '383', '397', '185', '608', '761']
['316', '27', '757', '83', '190', '289', '270', '940', '254', '328', '188', '484', '834', '252', '403', '645', '687', '177', '219', '833', '132', '847', '636', '76', '642', '824', '514', '447', '156', '362', '442', '299']
['986', '932', '461', '248', '777', '324', '172', '349', '938', '641', '202', '769', '377', '294', '15', '655', '295', '406', '686', '623', '380', '8', '482', '734', '487', '240', '291', '12', '651', '539', '399', '594']
['92', '637', '545', '770', '21', '237', '112', '536', '55', '900', '63', '775', '518', '463', '617', '660', '502', '443', '513', '546', '415', '275', '675', '958', '838', '682', '667', '511', '161', '781', '671', '326']
['809', '951', '195', '535', '811', '650', '346', '386', '350', '995', '410', '423', '336', '976', '613', '279', '93', '860', '629', '612', '928', '800', '197', '915', '319', '314', '813', '583', '916', '500', '175', '731']
['59', '213', '229', '49', '852', '806', '677', '593', '87', '764', '224', '796', '621', '960', '313', '821', '673', '858', '302', '552', '56', '542', '130', '962', '854', '749', '369', '135', '74', '550', '181', '327']
['978', '825', '664', '883', '452', '729', '473', '699', '30', '640', '772', '402', '648', '468', '588', '732', '251', '955', '936', '953', '464', '325', '42', '564', '347', '48', '553', '472', '266', '322', '281', '810']
['427', '449', '904', '14', '576', '870', '580', '321', '549', '57', '166', '37', '596', '481', '488', '259', '126', '705', '417', '968', '207', '853', '276', '64', '844', '505', '886', '966', '714', '54', '869', '277']
['139', '205', '28', '822', '459', '752', '654', '937', '218', '600', '839', '131', '245', '444', '435', '182', '618', '587', '318', '933', '526', '422', '783', '507', '256', '475', '193', '450', '792', '990', '695', '39']
['982', '708', '5', '956', '273', '567', '898', '901', '841', '859', '685', '676', '755', '387', '881', '837', '119', '99', '924', '162', '235', '3', '143', '947', '658', '180', '296', '929', '446', '144', '88', '115']
['569', '867', '688', '718', '370', '779', '816', '102', '836', '516', '1', '198', '971', '606', '831', '616', '138', '736', '992', '116', '696', '981', '113', '548', '727', '793', '282', '903', '106', '458', '584', '351']
['851', '460', '18', '972', '521', '525', '926', '247', '108', '895', '82', '280', '378', '766', '98', '363', '748', '572', '694', '489', '717', '555', '652', '578', '298', '367', '875', '719', '515', '666', '538', '312']
