['SirJellyTheTrueVampireSniffer', 'SirFluffyTheBraveMonsterMaker', 'DukeJellyTheMightyDragonFinder', 'QueenJellyTheMightyMonsterMaker', 'MasterBeetleTheMightyVampireSniffer', 'MadameTrinityTheBraveMonsterSniffer', 'MasterSushiTheMightyVampireHunter', 'DuchessSushiTheGreatRobotSniffer', 'SirTrinityTheTrueDragonEater', 'MasterShadowTheHeroicMonsterSniffer', 'DukeJellyTheHeroicDragonHunter', 'SirShadowTheHeroicVampireEater', 'DukeJellyTheHeroicRobotHunter', 'DuchessShadowTheMightyMonsterSniffer', 'MadameSushiTheMightyVampireHunter', 'SirShadowTheMightyDragonHunter', 'SirShadowTheBraveZombieMaker', 'MadameTrinityTheGreatZombieEater', 'DukeSushiTheTrueMonsterEater', 'LordBarneyTheMightyDragonEater']
['LordSushiTheGreatRobotHunter', 'MadameJellyTheMightyZombieMaker', 'MadameSushiTheBraveRobotSniffer', 'QueenTrinityTheGreatVampireEater', 'QueenBarneyTheMightyZombieHunter', 'SirShadowTheGreatRobotSniffer', 'DukeTrinityTheHeroicRobotMaker', 'DuchessBeetleTheBraveDragonEater', 'SirTrinityTheBraveZombieMaker', 'MasterBeetleTheTrueMonsterFinder', 'LordTrinityTheHeroicMonsterSniffer', 'SirJellyTheBraveZombieFinder', 'SirTrinityTheGreatRobotFinder', 'DukeTrinityTheBraveRobotEater', 'MasterBeetleTheGreatDragonSniffer', 'LordJellyTheTrueMonsterMaker', 'SirBeetleTheTrueRobotHunter', 'SirShadowTheGreatZombieSniffer', 'DuchessFluffyTheGreatZombieSniffer', 'MasterShadowTheMightyMonsterSniffer']
['SirJellyTheHeroicVampireEater', 'DukeSushiTheBraveDragonFinder', 'MadameSushiTheMightyZombieHunter', 'LordJellyTheMightyMonsterFinder', 'DuchessShadowTheTrueVampireFinder', 'MasterBarneyTheTrueDragonFinder', 'DuchessShadowTheBraveDragonSniffer', 'MadameFluffyTheHeroicDragonMaker', 'QueenBeetleTheBraveVampireMaker', 'DuchessFluffyTheTrueVampireFinder', 'DuchessBarneyTheMightyVampireSniffer', 'DukeShadowTheHeroicVampireHunter', 'LordFluffyTheBraveZombieFinder', 'MadameSushiTheHeroicZombieFinder', 'MasterSushiTheMightyMonsterEater', 'SirFluffyTheBraveMonsterSniffer', 'QueenSushiTheMightyMonsterEater', 'MadameJellyTheHeroicDragonEater', 'LordBarneyTheHeroicRobotSniffer', 'SirShadowTheMightyDragonMaker']
['SirJellyTheHeroicZombieEater', 'DukeSushiTheMightyVampireEater', 'DukeShadowTheMightyMonsterMaker', 'QueenShadowTheHeroicZombieFinder', 'DuchessJellyTheHeroicVampireMaker', 'SirBarneyTheBraveRobotHunter', 'MadameShadowTheMightyZombieFinder', 'MasterSushiTheBraveRobotEater', 'LordFluffyTheMightyDragonSniffer', 'DuchessSushiTheGreatVampireFinder', 'MasterBarneyTheTrueVampireEater', 'LordBarneyTheBraveDragonSniffer', 'MasterFluffyTheMightyRobotEater', 'MasterSushiTheHeroicRobotSniffer', 'DuchessSushiTheGreatVampireEater', 'MadameShadowTheGreatRobotHunter', 'MasterBarneyTheGreatDragonEater', 'LordSushiTheHeroicRobotMaker', 'MasterBarneyTheHeroicVampireMaker', 'QueenBarneyTheTrueRobotFinder']
['SirFluffyTheTrueZombieHunter', 'SirBarneyTheMightyRobotSniffer', 'QueenFluffyTheBraveRobotHunter', 'DukeShadowTheGreatDragonEater', 'DuchessTrinityTheTrueMonsterHunter', 'DuchessJellyTheHeroicDragonSniffer', 'QueenTrinityTheGreatMonsterHunter', 'SirBarneyTheTrueVampireEater', 'DukeShadowTheHeroicDragonEater', 'SirBarneyTheGreatRobotEater', 'SirShadowTheHeroicRobotMaker', 'LordFluffyTheGreatVampireSniffer', 'LordSushiTheGreatDragonEater', 'MadameTrinityTheHeroicMonsterEater', 'DukeBarneyTheHeroicZombieEater', 'DuchessJellyTheHeroicMonsterHunter', 'LordJellyTheBraveMonsterFinder', 'DukeJellyTheBraveVampireFinder', 'QueenBarneyTheBraveMonsterHunter', 'LordSushiTheBraveZombieSniffer']
['MasterFluffyTheTrueMonsterFinder', 'MasterFluffyTheMightyZombieHunter', 'LordBarneyTheHeroicVampireHunter', 'SirShadowTheGreatRobotMaker', 'MasterJellyTheMightyRobotEater', 'QueenSushiTheTrueZombieEater', 'MasterShadowTheTrueDragonSniffer', 'MadameTrinityTheBraveZombieSniffer', 'QueenTrinityTheGreatDragonHunter', 'QueenShadowTheMightyMonsterMaker', 'MasterShadowTheMightyZombieEater', 'DukeShadowTheBraveRobotFinder', 'QueenTrinityTheBraveRobotFinder', 'QueenJellyTheMightyZombieFinder', 'MasterShadowTheBraveDragonFinder', 'QueenJellyTheHeroicZombieEater', 'MasterBarneyTheTrueZombieEater', 'LordSushiTheMightyZombieFinder', 'SirFluffyTheBraveZombieFinder', 'DukeBarneyTheMightyRobotSniffer']
['DuchessBarneyTheGreatDragonHunter', 'LordBeetleTheMightyMonsterMaker', 'SirBeetleTheHeroicDragonHunter', 'QueenBarneyTheGreatVampireSniffer', 'QueenBarneyTheMightyRobotFinder', 'QueenBarneyTheMightyZombieMaker', 'LordFluffyTheBraveVampireHunter', 'SirTrinityTheGreatDragonFinder', 'DukeBeetleTheTrueZombieFinder', 'DukeJellyTheHeroicRobotSniffer', 'SirBeetleTheGreatZombieEater', 'MadameJellyTheGreatVampireFinder', 'QueenBarneyTheBraveVampireHunter', 'MasterFluffyTheTrueDragonFinder', 'LordFluffyTheGreatDragonHunter', 'LordSushiTheBraveDragonSniffer', 'QueenTrinityTheBraveVampireSniffer', 'MasterJellyTheHeroicMonsterHunter', 'MadameSushiTheMightyRobotMaker', 'QueenTrinityTheMightyVampireMaker']
['SirSushiTheTrueDragonMaker', 'DukeShadowTheGreatMonsterEater', 'MasterTrinityTheHeroicDragonHunter', 'MasterBeetleTheMightyVampireMaker', 'SirShadowTheTrueVampireFinder', 'DuchessBeetleTheTrueZombieEater', 'LordSushiTheHeroicVampireMaker', 'QueenSushiTheHeroicVampireMaker', 'MadameSushiTheMightyDragonSniffer', 'QueenFluffyTheTrueZombieHunter', 'LordFluffyTheMightyRobotSniffer', 'DukeSushiTheGreatDragonSniffer', 'DukeShadowTheBraveRobotEater', 'MasterTrinityTheMightyVampireMaker', 'DuchessBeetleTheMightyMonsterEater', 'DukeBeetleTheGreatDragonHunter', 'SirFluffyTheTrueRobotEater', 'DuchessBeetleTheHeroicZombieEater', 'DuchessShadowTheHeroicDragonHunter', 'QueenBarneyTheGreatRobotFinder']
['SirShadowTheMightyRobotSniffer', 'SirShadowTheGreatDragonHunter', 'SirFluffyTheTrueRobotHunter', 'SirTrinityTheBraveMonsterHunter', 'DuchessShadowTheHeroicVampireSniffer', 'SirShadowTheMightyMonsterSniffer', 'LordBarneyTheBraveRobotFinder', 'QueenJellyTheHeroicVampireHunter', 'SirBarneyTheHeroicRobotSniffer', 'SirSushiTheBraveZombieEater', 'DukeJellyTheGreatDragonFinder', 'QueenFluffyTheHeroicMonsterMaker', 'MasterJellyTheGreatZombieHunter', 'DuchessBarneyTheMightyVampireHunter', 'QueenBarneyTheMightyMonsterEater', 'MadameShadowTheGreatZombieMaker', 'MadameTrinityTheGreatDragonSniffer', 'MadameShadowTheBraveZombieHunter', 'MasterBeetleTheTrueVampireHunter', 'SirJellyTheGreatVampireHunter']
['MadameShadowTheGreatDragonEater', 'DuchessBarneyTheBraveZombieMaker', 'DukeBeetleTheHeroicVampireFinder', 'SirShadowTheBraveZombieFinder', 'LordFluffyTheMightyVampireFinder', 'MasterSushiTheBraveDragonFinder', 'DukeShadowTheBraveVampireHunter', 'LordTrinityTheMightyDragonEater', 'QueenBeetleTheHeroicMonsterSniffer', 'MadameShadowTheBraveVampireFinder', 'MadameShadowTheHeroicMonsterEater', 'QueenShadowTheTrueMonsterFinder', 'DukeSushiTheTrueVampireMaker', 'LordSushiTheTrueMonsterEater', 'DuchessBarneyTheGreatMonsterFinder', 'MasterTrinityTheMightyMonsterMaker', 'MasterFluffyTheBraveVampireFinder', 'MasterSushiTheHeroicZombieHunter', 'QueenBeetleTheGreatDragonSniffer', 'QueenShadowTheBraveVampireMaker']
['DukeJellyTheTrueRobotFinder', 'DuchessBarneyTheBraveMonsterMaker', 'QueenJellyTheHeroicRobotHunter', 'QueenSushiTheMightyVampireEater', 'MadameJellyTheBraveVampireEater', 'DuchessBeetleTheTrueZombieSniffer', 'SirJellyTheGreatZombieMaker', 'LordFluffyTheGreatZombieHunter', 'LordTrinityTheGreatMonsterEater', 'DukeShadowTheMightyVampireEater', 'QueenTrinityTheMightyZombieHunter', 'MadameJellyTheGreatMonsterEater', 'LordFluffyTheMightyVampireMaker', 'LordBeetleTheGreatRobotSniffer', 'MasterJellyTheMightyMonsterHunter', 'DukeJellyTheMightyRobotSniffer', 'MasterFluffyTheBraveRobotHunter', 'DuchessFluffyTheGreatRobotHunter', 'LordShadowTheBraveZombieSniffer', 'QueenTrinityTheBraveVampireEater']
['MasterBeetleTheHeroicRobotMaker', 'SirBeetleTheGreatZombieFinder', 'DukeShadowTheTrueMonsterEater', 'MadameFluffyTheBraveRobotFinder', 'DuchessBarneyTheBraveMonsterHunter', 'MadameShadowTheGreatVampireFinder', 'LordFluffyTheHeroicMonsterHunter', 'DuchessSushiTheHeroicDragonFinder', 'MadameTrinityTheGreatMonsterMaker', 'MadameBarneyTheMightyRobotHunter', 'SirBarneyTheTrueZombieEater', 'SirShadowTheBraveRobotHunter', 'DukeBeetleTheMightyRobotHunter', 'DuchessSushiTheTrueMonsterFinder', 'DukeTrinityTheGreatDragonFinder', 'MasterJellyTheHeroicZombieEater', 'MasterFluffyTheMightyMonsterMaker', 'MadameSushiTheMightyMonsterEater', 'MadameJellyTheBraveDragonEater', 'MasterBeetleTheHeroicRobotFinder']
['MadameShadowTheHeroicMonsterMaker', 'LordShadowTheHeroicDragonSniffer', 'DuchessFluffyTheGreatDragonEater', 'LordSushiTheHeroicRobotEater', 'QueenTrinityTheBraveMonsterFinder', 'MasterFluffyTheHeroicMonsterEater', 'SirFluffyTheGreatMonsterHunter', 'SirBeetleTheBraveZombieEater', 'DukeJellyTheBraveZombieEater', 'MasterShadowTheGreatRobotHunter', 'QueenTrinityTheHeroicDragonHunter', 'DuchessTrinityTheTrueDragonEater', 'MadameFluffyTheTrueZombieFinder', 'QueenFluffyTheMightyRobotEater', 'DukeBarneyTheTrueZombieEater', 'MasterShadowTheMightyMonsterFinder', 'LordShadowTheBraveVampireHunter', 'SirTrinityTheMightyMonsterSniffer', 'MadameJellyTheTrueVampireHunter', 'QueenJellyTheBraveMonsterMaker']
['QueenFluffyTheBraveDragonFinder', 'QueenSushiTheTrueVampireEater', 'SirTrinityTheMightyVampireEater', 'DukeShadowTheMightyRobotEater', 'DuchessTrinityTheGreatMonsterFinder', 'DukeFluffyTheTrueVampireMaker', 'DuchessFluffyTheBraveVampireSniffer', 'LordFluffyTheTrueMonsterSniffer', 'MasterBarneyTheTrueMonsterMaker', 'SirSushiTheTrueZombieFinder', 'MasterSushiTheTrueZombieFinder', 'SirFluffyTheBraveRobotHunter', 'QueenJellyTheTrueMonsterMaker', 'MadameBarneyTheMightyZombieEater', 'QueenTrinityTheBraveMonsterHunter', 'DuchessBarneyTheBraveMonsterEater', 'QueenTrinityTheHeroicRobotSniffer', 'MasterBeetleTheMightyDragonMaker', 'DuchessJellyTheHeroicVampireHunter', 'DukeTrinityTheBraveMonsterMaker']
['MadameBarneyTheBraveVampireSniffer', 'MasterBarneyTheBraveVampireFinder', 'MadameJellyTheTrueZombieHunter', 'MadameBarneyTheGreatMonsterSniffer', 'QueenBeetleTheGreatMonsterFinder', 'QueenShadowTheBraveRobotFinder', 'MasterShadowTheGreatRobotSniffer', 'MasterSushiTheTrueMonsterEater', 'QueenBarneyTheGreatRobotEater', 'MasterBarneyTheHeroicDragonEater', 'SirSushiTheGreatRobotEater', 'MasterFluffyTheMightyDragonMaker', 'DuchessBeetleTheTrueZombieFinder', 'QueenBeetleTheTrueRobotEater', 'QueenTrinityTheMightyMonsterHunter', 'DukeJellyTheBraveZombieFinder', 'MadameJellyTheGreatZombieMaker', 'DukeBarneyTheHeroicRobotFinder', 'MadameBeetleTheBraveVampireFinder']
