['MadameShadowTheMightyVampireEater', 'LordSushiTheBraveVampireEater', 'LordJellyTheBraveDragonEater', 'DuchessShadowTheHeroicZombieFinder', 'LordJellyTheMightyRobotEater', 'LordFluffyTheGreatMonsterFinder', 'DukeSushiTheBraveDragonFinder', 'QueenBarneyTheMightyZombieEater', 'LordJellyTheBraveZombieEater', 'QueenShadowTheTrueVampireSniffer', 'SirShadowTheHeroicVampireEater', 'LordBarneyTheMightyDragonEater', 'DukeShadowTheTrueMonsterEater', 'LordJellyTheTrueDragonEater', 'MasterShadowTheBraveDragonFinder', 'QueenJellyTheHeroicZombieSniffer', 'SirBeetleTheGreatZombieEater', 'QueenBeetleTheGreatDragonMaker', 'DukeSushiTheHeroicZombieHunter', 'DukeSushiTheGreatZombieFinder']
['DuchessSushiTheGreatVampireEater', 'MasterSushiTheHeroicRobotSniffer', 'LordBarneyTheBraveDragonSniffer', 'MadameBarneyTheGreatRobotEater', 'MadameShadowTheGreatRobotHunter', 'LordFluffyTheMightyDragonSniffer', 'MasterSushiTheBraveRobotEater', 'DuchessSushiTheGreatVampireFinder', 'MasterBarneyTheTrueVampireEater', 'MasterBarneyTheHeroicVampireMaker', 'DukeSushiTheTrueDragonHunter', 'MasterTrinityTheHeroicRobotFinder', 'DukeJellyTheGreatDragonFinder', 'LordJellyTheBraveVampireHunter', 'DukeSushiTheGreatDragonSniffer', 'MadameTrinityTheGreatZombieEater', 'DukeSushiTheTrueMonsterEater', 'MadameSushiTheMightyVampireHunter', 'LordShadowTheHeroicDragonHunter', 'MadameSushiTheBraveVampireSniffer']
['LordBarneyTheHeroicVampireHunter', 'MasterFluffyTheTrueMonsterFinder', 'SirShadowTheGreatRobotMaker', 'MasterFluffyTheMightyZombieHunter', 'QueenSushiTheHeroicVampireMaker', 'LordSushiTheHeroicVampireMaker', 'QueenTrinityTheBraveRobotFinder', 'LordFluffyTheMightyMonsterSniffer', 'QueenJellyTheMightyZombieFinder', 'DukeShadowTheBraveRobotFinder', 'QueenBeetleTheMightyRobotMaker', 'DukeTrinityTheGreatDragonHunter', 'MadameFluffyTheTrueVampireFinder', 'MasterShadowTheMightyZombieEater', 'SirTrinityTheGreatDragonFinder', 'LordFluffyTheBraveVampireHunter', 'LordFluffyTheMightyVampireMaker', 'LordBeetleTheMightyZombieFinder', 'MadameJellyTheHeroicZombieEater', 'SirBeetleTheHeroicMonsterEater']
['DukeTrinityTheHeroicRobotMaker', 'MasterShadowTheBraveRobotEater', 'LordJellyTheGreatRobotHunter', 'DuchessFluffyTheMightyRobotMaker', 'DukeShadowTheMightyRobotEater', 'QueenBarneyTheMightyZombieMaker', 'QueenBarneyTheGreatVampireSniffer', 'MadameShadowTheMightyDragonEater', 'DuchessBarneyTheGreatDragonHunter', 'QueenBarneyTheMightyRobotFinder', 'DuchessTrinityTheTrueDragonEater', 'LordBeetleTheMightyMonsterMaker', 'SirBeetleTheHeroicDragonHunter', 'QueenTrinityTheHeroicDragonHunter', 'LordBeetleTheHeroicMonsterSniffer', 'DuchessTrinityTheTrueZombieEater', 'DukeTrinityTheGreatDragonEater', 'MasterShadowTheTrueZombieEater', 'DuchessBeetleTheMightyMonsterFinder', 'MasterFluffyTheMightyMonsterMaker']
['MasterFluffyTheTrueDragonFinder', 'MadameJellyTheHeroicDragonEater', 'QueenTrinityTheGreatDragonHunter', 'QueenSushiTheMightyMonsterEater', 'DukeBeetleTheHeroicZombieMaker', 'QueenBarneyTheMightyMonsterEater', 'LordFluffyTheGreatDragonHunter', 'LordBarneyTheBraveVampireHunter', 'QueenBeetleTheGreatDragonSniffer', 'MasterJellyTheHeroicMonsterHunter', 'DuchessBarneyTheMightyVampireHunter', 'DuchessBeetleTheMightyMonsterEater', 'MadameSushiTheTrueRobotEater', 'QueenBarneyTheMightyZombieHunter', 'MasterTrinityTheMightyVampireMaker', 'DukeBeetleTheGreatDragonHunter', 'MadameSushiTheMightyRobotMaker', 'MasterJellyTheGreatZombieHunter', 'QueenBarneyTheBraveVampireHunter', 'MadameJellyTheGreatVampireFinder']
['DukeShadowTheGreatDragonEater', 'DuchessTrinityTheTrueMonsterHunter', 'DukeShadowTheHeroicDragonEater', 'QueenShadowTheTrueMonsterFinder', 'SirFluffyTheBraveMonsterSniffer', 'MasterSushiTheMightyMonsterEater', 'SirSushiTheTrueZombieFinder', 'QueenJellyTheBraveMonsterMaker', 'MasterTrinityTheGreatMonsterSniffer', 'DuchessBeetleTheHeroicZombieEater', 'MadameJellyTheBraveDragonHunter', 'MasterJellyTheBraveDragonHunter', 'SirSushiTheTrueRobotEater', 'LordTrinityTheTrueZombieHunter', 'MasterTrinityTheBraveDragonHunter', 'DuchessShadowTheHeroicVampireSniffer', 'SirFluffyTheTrueRobotHunter', 'SirTrinityTheBraveMonsterHunter', 'SirShadowTheGreatDragonHunter', 'MasterBarneyTheHeroicZombieMaker']
['QueenJellyTheGreatMonsterFinder', 'SirFluffyTheBraveRobotHunter', 'DuchessBeetleTheGreatMonsterEater', 'SirFluffyTheTrueZombieHunter', 'MadameFluffyTheHeroicVampireMaker', 'DuchessSushiTheTrueMonsterFinder', 'MadameJellyTheBraveVampireEater', 'DuchessBeetleTheTrueZombieSniffer', 'MasterSushiTheTrueZombieFinder', 'DuchessShadowTheTrueZombieSniffer', 'MasterBarneyTheTrueMonsterMaker', 'MadameJellyTheBraveDragonEater', 'MadameSushiTheMightyMonsterEater', 'MadameTrinityTheHeroicMonsterEater', 'DuchessBarneyTheBraveMonsterEater', 'QueenJellyTheTrueMonsterMaker', 'QueenBeetleTheGreatMonsterFinder', 'DukeSushiTheTrueDragonFinder', 'LordFluffyTheMightyVampireSniffer', 'DuchessTrinityTheGreatZombieFinder']
['LordBeetleTheBraveDragonFinder', 'LordJellyTheGreatVampireSniffer', 'QueenTrinityTheHeroicVampireMaker', 'SirSushiTheBraveZombieEater', 'SirSushiTheBraveDragonMaker', 'LordFluffyTheGreatZombieHunter', 'SirJellyTheGreatZombieMaker', 'SirJellyTheGreatVampireHunter', 'MadameTrinityTheGreatMonsterMaker', 'MasterBarneyTheHeroicDragonEater', 'QueenJellyTheHeroicVampireHunter', 'LordBarneyTheBraveRobotFinder', 'SirBarneyTheHeroicRobotSniffer', 'SirShadowTheHeroicRobotMaker', 'SirShadowTheMightyMonsterSniffer', 'LordFluffyTheTrueMonsterSniffer', 'DuchessBeetleTheTrueZombieFinder', 'DukeShadowTheBraveRobotEater', 'MasterTrinityTheMightyVampireEater', 'QueenBarneyTheTrueRobotFinder']
['DuchessShadowTheHeroicDragonHunter', 'QueenBarneyTheGreatRobotFinder', 'QueenTrinityTheBraveMonsterHunter', 'MadameBarneyTheMightyRobotHunter', 'DuchessBarneyTheBraveMonsterHunter', 'MasterTrinityTheHeroicZombieMaker', 'MadameShadowTheGreatVampireFinder', 'MadameFluffyTheTrueZombieFinder', 'SirTrinityTheMightyVampireEater', 'MasterSushiTheHeroicZombieHunter', 'MasterFluffyTheBraveVampireFinder', 'MasterTrinityTheMightyMonsterMaker', 'SirTrinityTheGreatRobotMaker', 'MasterTrinityTheMightyRobotSniffer', 'SirJellyTheHeroicVampireEater', 'SirJellyTheHeroicZombieEater', 'MasterBeetleTheTrueMonsterFinder', 'SirBarneyTheMightyRobotSniffer', 'DuchessFluffyTheGreatRobotEater', 'SirTrinityTheHeroicRobotSniffer']
['QueenTrinityTheBraveVampireEater', 'LordShadowTheBraveZombieSniffer', 'MasterSushiTheTrueMonsterEater', 'MasterFluffyTheTrueMonsterEater', 'MadameBarneyTheBraveVampireSniffer', 'SirShadowTheMightyRobotSniffer', 'MadameShadowTheGreatDragonEater', 'DuchessBarneyTheBraveZombieMaker', 'DukeShadowTheBraveVampireHunter', 'DukeJellyTheTrueRobotFinder', 'DuchessBarneyTheBraveMonsterMaker', 'MasterTrinityTheHeroicDragonHunter', 'SirShadowTheTrueVampireFinder', 'LordJellyTheBraveMonsterFinder', 'DuchessFluffyTheGreatRobotHunter', 'MasterBeetleTheHeroicRobotMaker', 'SirBeetleTheGreatZombieFinder', 'SirBarneyTheTrueZombieEater', 'SirShadowTheBraveRobotHunter', 'DukeBeetleTheMightyRobotHunter']
['LordSushiTheBraveDragonSniffer', 'DukeBeetleTheTrueZombieFinder', 'MasterFluffyTheMightyDragonMaker', 'DukeJellyTheBraveVampireFinder', 'MadameSushiTheHeroicZombieFinder', 'DukeTrinityTheBraveMonsterMaker', 'MadameJellyTheMightyZombieMaker', 'DukeTrinityTheGreatDragonFinder', 'MadameShadowTheHeroicMonsterMaker', 'QueenTrinityTheBraveMonsterFinder', 'MasterFluffyTheHeroicMonsterEater', 'MadameBeetleTheTrueMonsterSniffer', 'LordTrinityTheHeroicVampireEater', 'SirFluffyTheGreatMonsterHunter', 'SirBeetleTheBraveZombieEater', 'DukeJellyTheBraveZombieEater', 'MasterShadowTheGreatRobotHunter', 'SirTrinityTheMightyMonsterSniffer', 'MadameSushiTheMightyDragonSniffer', 'QueenTrinityTheBraveVampireSniffer']
['MasterBeetleTheMightyDragonMaker', 'DuchessJellyTheHeroicVampireHunter', 'DuchessBeetleTheTrueZombieHunter', 'DuchessBarneyTheGreatMonsterFinder', 'MadameJellyTheTrueVampireHunter', 'DuchessSushiTheHeroicDragonFinder', 'QueenFluffyTheBraveDragonFinder', 'MadameSushiTheBraveRobotSniffer', 'QueenTrinityTheMightyVampireMaker', 'DuchessFluffyTheBraveVampireSniffer', 'MadameBarneyTheMightyZombieEater', 'MasterBeetleTheHeroicRobotFinder', 'MadameShadowTheGreatZombieMaker', 'MasterFluffyTheBraveRobotHunter', 'DukeJellyTheMightyRobotSniffer', 'MadameTrinityTheGreatDragonSniffer', 'QueenTrinityTheHeroicRobotSniffer', 'LordBeetleTheGreatRobotSniffer', 'DuchessShadowTheMightyMonsterSniffer', 'MasterBarneyTheBraveVampireFinder']
['DukeJellyTheBraveZombieFinder', 'DuchessFluffyTheTrueVampireFinder', 'QueenTrinityTheMightyMonsterHunter', 'DukeFluffyTheTrueVampireMaker', 'MadameJellyTheTrueZombieHunter', 'MadameBarneyTheGreatMonsterSniffer', 'SirShadowTheGreatRobotSniffer', 'MasterShadowTheHeroicVampireSniffer', 'QueenShadowTheBraveRobotFinder', 'MasterShadowTheGreatRobotSniffer', 'LordFluffyTheMightyRobotSniffer', 'QueenShadowTheBraveVampireMaker', 'MasterSushiTheBraveDragonFinder', 'QueenBeetleTheTrueRobotEater', 'MadameJellyTheGreatZombieMaker', 'LordTrinityTheGreatMonsterEater', 'LordFluffyTheGreatVampireSniffer', 'DukeBarneyTheHeroicRobotFinder', 'MadameBeetleTheBraveVampireFinder']
