['798', '100', '36']
['390', '488', '909']
['972', '515', '60']
['593', '526', '812']
['933', '737', '742']
['211', '672', '994']
['893', '636', '300']
['387', '605', '882']
['307', '91', '393']
['500', '866', '358']
['826', '275', '430']
['514', '776', '698']
['979', '222', '519']
['699', '941', '721']
['801', '15', '368']
['305', '524', '219']
['673', '955', '902']
['335', '336', '884']
['713', '695', '768']
['863', '328', '441']
['740', '921', '139']
['735', '462', '852']
['968', '657', '834']
['253', '785', '670']
['996', '646', '329']
['109', '999', '454']
['320', '714', '121']
['531', '959', '31']
['178', '376', '545']
['386', '480', '479']
['843', '55', '439']
['825', '626', '829']
['293', '628', '734']
['304', '859', '147']
['182', '482', '985']
['681', '939', '505']
['791', '666', '542']
['66', '712', '497']
['789', '437', '706']
['216', '537', '668']
['224', '491']
['54', '381']
