['Vertex40', 'Vertex44', 'Vertex183', 'Vertex56', 'Vertex381', 'Vertex135', 'Vertex157', 'Vertex149', 'Vertex226', 'Vertex104']
['Vertex143', 'Vertex330', 'Vertex439', 'Vertex345', 'Vertex201', 'Vertex405', 'Vertex428', 'Vertex271', 'Vertex273', 'Vertex307']
['Vertex153', 'Vertex196', 'Vertex241', 'Vertex294', 'Vertex276', 'Vertex173', 'Vertex378', 'Vertex155', 'Vertex354', 'Vertex367']
['Vertex161', 'Vertex172', 'Vertex257', 'Vertex346', 'Vertex325', 'Vertex385', 'Vertex422', 'Vertex194', 'Vertex338', 'Vertex347']
['Vertex175', 'Vertex275', 'Vertex384', 'Vertex407', 'Vertex420', 'Vertex430', 'Vertex267', 'Vertex303', 'Vertex322', 'Vertex363']
['Vertex176', 'Vertex253', 'Vertex214', 'Vertex426', 'Vertex195', 'Vertex333', 'Vertex317', 'Vertex312', 'Vertex326', 'Vertex334']
['Vertex182', 'Vertex278', 'Vertex243', 'Vertex335', 'Vertex309', 'Vertex437', 'Vertex401', 'Vertex376', 'Vertex361', 'Vertex400']
['Vertex198', 'Vertex268', 'Vertex337', 'Vertex199', 'Vertex392', 'Vertex310', 'Vertex393', 'Vertex339', 'Vertex417', 'Vertex434']
['Vertex205', 'Vertex281', 'Vertex373', 'Vertex383', 'Vertex215', 'Vertex402', 'Vertex352', 'Vertex308', 'Vertex368', 'Vertex343']
['Vertex224', 'Vertex304', 'Vertex229', 'Vertex413', 'Vertex416', 'Vertex238', 'Vertex293', 'Vertex364', 'Vertex429', 'Vertex287']
['Vertex248', 'Vertex290', 'Vertex366', 'Vertex289', 'Vertex369', 'Vertex375', 'Vertex403', 'Vertex314', 'Vertex409', 'Vertex306']
['Vertex259', 'Vertex270', 'Vertex387', 'Vertex321', 'Vertex344', 'Vertex397', 'Vertex399', 'Vertex410', 'Vertex277', 'Vertex371']
['Vertex329', 'Vertex359', 'Vertex377', 'Vertex348', 'Vertex421', 'Vertex425', 'Vertex349', 'Vertex356', 'Vertex433', 'Vertex438']
['Vertex336', 'Vertex394', 'Vertex365', 'Vertex432', 'Vertex436', 'Vertex370', 'Vertex374', 'Vertex391', 'Vertex435', 'Vertex398']
