['191', '565', '138', '709', '747']
['428', '914', '639', '333', '740']
['70', '880', '984', '90', '587']
['235', '419', '295', '145', '570']
['890', '214', '385', '547', '123']
['758', '963', '164', '977', '106']
['339', '520', '828', '704', '107']
['275', '120', '900', '220', '895']
['30', '309', '460', '193', '878']
['173', '259', '23', '3', '63']
['205', '533', '931', '798', '553']
['854', '998', '779', '448', '253']
['628', '993', '434', '885', '391']
['43', '336', '876', '499', '886']
['408', '945', '226', '161', '605']
['623', '933', '693', '10', '404']
['329', '498', '550', '863', '466']
['906', '51', '297', '710', '820']
['727', '77', '349', '702', '501']
['184', '35', '579', '229', '649']
['706', '148', '459', '712', '791']
['741', '66', '288', '382', '607']
['818', '534', '847', '761', '261']
['991', '473', '469', '522', '653']
['388', '100', '784', '529', '18']
['26', '103', '602', '925', '430']
['267', '203', '486', '760', '646']
['774', '518', '496', '929', '864']
['480', '505', '797', '751', '244']
['632', '746', '337', '953', '599']
['65', '645', '171', '772', '32']
['279', '724', '849', '887', '843']
['27', '42', '294', '445', '755']
['985', '596', '273', '762', '476']
['745', '89', '715', '716', '73']
['502', '440', '800', '884', '541']
['181', '237', '943', '121', '562']
['796', '504', '794', '84', '527']
['291', '634', '378', '99', '544']
['242', '560', '458', '20', '996']
['845', '387', '481', '86', '36']
['898', '610', '482', '293', '577']
['714', '892', '159', '961', '835']
['809', '152', '922', '967', '744']
['815', '951', '682', '566', '696']
['59', '554', '911', '68', '219']
['688', '240', '802', '930', '367']
['860', '808', '888', '263', '635']
['705', '425', '206', '546', '633']
['225', '625', '346', '167', '799']
['437', '6', '402', '920', '290']
['609', '948', '271', '766', '246']
['742', '994', '326', '156', '955']
['114', '827', '862', '909', '179']
['31', '83', '749', '256', '371']
['950', '954', '770', '373', '982']
['581', '78', '687', '249', '46']
['360', '600', '780', '669', '248']
['743', '619', '217', '974', '997']
['913', '773', '358', '405', '851']
['292', '698', '350', '812', '555']
['283', '478', '134', '446', '375']
['790', '823', '75', '783', '316']
['163', '414', '592', '867', '949']
['841', '989', '512', '141', '665']
['583', '970', '39', '188', '928']
['194', '344', '731', '441', '41']
['557', '265', '510', '692', '964']
['608', '584', '305', '901', '361']
['995', '936', '439', '113', '431']
['514', '937', '69', '306', '561']
['627', '793', '778', '58', '918']
['81', '517', '782', '946', '270']
['573', '853', '733', '523', '227']
['699', '990', '947', '814', '988']
['934', '848', '281', '986', '174']
['511', '999', '652', '37', '825']
['500', '200', '840', '310', '296']
['659', '935', '160', '443', '574']
['707', '334', '528', '719', '213']
['364', '821', '681', '133', '781']
['474', '251', '338', '189', '726']
['60', '436', '118', '729', '101']
['323', '62', '432', '606', '325']
['376', '322', '754', '813', '230']
['677', '538', '870', '129', '390']
['620', '116', '992', '420', '834']
['694', '311', '624', '111', '351']
['381', '968', '150', '395', '926']
['67', '34', '319', '147', '424']
['488', '287', '392', '613', '109']
['905', '21', '131', '394', '927']
['662', '369', '417', '401', '61']
['470', '397', '332', '896', '320']
['155', '530', '124', '543', '280']
['359', '223', '467', '697', '877']
['449', '258', '472', '833', '526']
['768', '830', '204', '40', '146']
['372', '5', '811', '342', '981']
['304', '578', '750', '365', '422']
['485', '475', '438', '822', '245']
['149', '262', '924', '199', '56']
['786', '668', '144', '722', '787']
['695', '318', '960', '2', '12']
['368', '177', '537', '479', '195']
['455', '912', '4', '661', '451']
['617', '19', '412', '816', '222']
['767', '795', '168', '923', '672']
['71', '140', '597', '457', '980']
