['582', '131', '236', '486', '313', '634', '140', '922']
['614', '742', '440', '885', '555', '830', '615', '372']
['317', '359', '177', '205', '978', '507', '415', '685']
['222', '99', '216', '220', '465', '238', '484', '360']
['896', '984', '702', '566', '445', '476', '889', '456']
['856', '780', '209', '174', '604', '145', '776', '286']
['129', '845', '921', '787', '305', '187', '841', '989']
['910', '256', '98', '883', '391', '936', '843', '928']
['707', '739', '521', '608', '269', '688', '721', '786']
['954', '450', '168', '579', '316', '280', '203', '374']
['717', '247', '583', '227', '18', '494', '449', '859']
['887', '528', '264', '62', '88', '363', '270', '872']
['597', '940', '435', '567', '14', '530', '461', '362']
['407', '112', '508', '349', '409', '965', '796', '929']
['714', '836', '899', '982', '571', '951', '170', '281']
['639', '853', '768', '851', '961', '429', '396', '108']
['981', '350', '65', '202', '556', '673', '500', '918']
['700', '71', '847', '871', '423', '124', '659', '339']
['948', '943', '959', '860', '612', '160', '215', '501']
['229', '976', '560', '250', '178', '854', '898', '179']
['529', '295', '325', '185', '196', '646', '56', '930']
['356', '513', '389', '679', '594', '761', '472', '348']
['703', '481', '115', '624', '387', '114', '5', '395']
['862', '394', '390', '292', '459', '422', '373', '939']
['645', '791', '506', '788', '17', '384', '116', '165']
['198', '618', '414', '255', '705', '886', '833', '10']
['666', '671', '815', '207', '832', '669', '437', '100']
['335', '881', '945', '240', '817', '903', '868', '172']
['490', '134', '587', '727', '724', '400', '991', '969']
['3', '835', '525', '206', '728', '544', '235', '665']
['825', '309', '795', '797', '171', '37', '677', '759']
['212', '283', '491', '341', '692', '649', '882', '686']
['35', '173', '442', '550', '554', '208', '327', '650']
['667', '927', '655', '715', '517', '640', '166', '559']
['631', '15', '493', '181', '901', '572', '12', '84']
['967', '603', '964', '737', '324', '430', '214', '329']
['792', '771', '813', '496', '452', '756', '4', '125']
['482', '693', '225', '467', '999', '591', '731', '867']
['877', '740', '844', '90', '499', '451', '167', '505']
['82', '799', '713', '826', '55', '760', '156', '682']
['744', '462', '243', '800', '261', '162', '398', '294']
['352', '782', '699', '568', '915', '956', '810', '431']
['852', '443', '562', '323', '807', '72', '838', '103']
['278', '523', '436', '632', '408', '595', '593', '291']
['578', '575', '104', '629', '151', '869', '338', '78']
['83', '346', '201', '641', '299', '296', '538', '541']
['722', '963', '994', '405', '947', '182', '820', '397']
['784', '627', '239', '584', '747', '304', '668', '402']
['302', '96', '609', '769', '386', '204', '157', '983']
['619', '995', '64', '893', '564', '383', '902', '474']
['126', '444', '861', '176', '874', '81', '190', '777']
