['358', '498', '766', '537', '643']
['770', '886', '535', '275']
['644', '76', '448', '733']
['2', '97', '161', '27']
['555', '217', '778', '211']
['125', '608', '909', '591']
['638', '47', '571', '435']
['588', '734', '205', '475']
['314', '613', '948', '679']
['324', '273', '119', '884']
['680', '732', '858', '530']
['197', '830', '927', '31']
['834', '553', '423', '602']
['855', '889', '310', '811']
['853', '614', '261', '257']
['867', '12', '421', '605']
['876', '632', '417', '769']
['468', '241', '437', '85']
['906', '573', '86', '20']
['213', '218', '400', '660']
['6', '751', '163', '941']
['486', '619', '253', '122']
['477', '4', '492', '162']
['454', '753', '520', '806']
['688', '762', '121', '114']
['523', '601', '80', '327']
['510', '81', '720', '1']
['258', '353', '843', '478']
['546', '192', '301', '180']
['323', '15', '837', '110']
['413', '415', '272', '583']
['950', '748', '117', '141']
['665', '386', '631', '651']
['23', '412', '309', '40']
['90', '457', '649', '489']
['425', '829', '130', '852']
['690', '789', '713', '747']
['687', '69', '440', '92']
['50', '940', '609', '500']
['106', '893', '479', '201']
['326', '736', '42', '718']
['222', '526', '768', '850']
['692', '418', '377', '395']
['416', '616', '627', '761']
['447', '835', '612', '267']
['623', '195', '379', '152']
['728', '622', '262', '283']
['158', '879', '443', '701']
['422', '496', '894', '641']
['387', '466', '629', '946']
['308', '525', '514', '529']
['742', '234', '216', '783']
['403', '289', '903', '566']
['719', '33', '46', '439']
['187', '183', '551', '705']
['235', '409', '54', '177']
['618', '913', '279', '511']
['100', '695', '589', '45']
['464', '193', '226', '779']
['129', '359', '229', '721']
['712', '935', '503', '793']
['271', '517', '461', '709']
['120', '592', '453', '297']
['36', '661', '857', '490']
['8', '284', '708', '717']
['491', '9', '470', '250']
['341', '426', '240', '305']
['62', '549', '336', '467']
['335', '945', '300', '764']
['462', '939', '138', '410']
['133', '334', '897', '315']
['744', '49', '463', '212']
['674', '810', '892', '302']
['875', '459', '169', '103']
['684', '345', '41', '849']
['37', '316', '603', '112']
['285', '376', '763', '460']
['924', '599', '561', '160']
['237', '245', '804', '65']
['25', '380', '825', '919']
['851', '333', '38', '388']
['481', '635', '196', '509']
['339', '29', '911', '522']
['634', '668', '540', '916']
['563', '236', '653', '142']
['317', '266', '782', '191']
['639', '3', '516', '441']
['370', '347', '656', '99']
['647', '671', '611', '265']
['331', '725', '846', '554']
['318', '238', '287', '385']
['274', '346', '354', '91']
['582', '645', '344', '356']
['0', '455', '66', '396']
['749', '642', '328', '251']
['560', '452', '349', '552']
['108', '685', '655', '139']
['329', '570', '96', '393']
['636', '536', '116', '797']
['704', '596', '519', '917']
['480', '881', '118', '544']
['204', '949', '311', '594']
['637', '428', '414', '871']
['109', '923', '729', '355']
['5', '527', '136', '776']
['625', '488', '657', '424']
['697', '896', '787', '293']
['431', '739', '471', '741']
['406', '343', '703', '767']
['154', '330', '391', '870']
['700', '247', '595', '746']
['895', '375', '780', '143']
['868', '606', '43', '812']
['394', '485', '434', '841']
['362', '199', '153', '101']
['864', '93', '185', '107']
['313', '524', '268', '140']
['502', '260', '239', '319']
['446', '567', '137', '557']
['838', '899', '579', '814']
['711', '854', '905', '686']
['171', '597', '771', '796']
['14', '848', '730', '743']
['382', '580', '883', '760']
['545', '392', '350', '929']
['372', '676', '901', '144']
['105', '332', '650', '281']
['774', '541', '847', '150']
['303', '947', '586', '777']
['219', '844', '165', '951']
['48', '365', '223', '528']
['321', '576', '127', '891']
['824', '887', '539', '186']
['450', '404', '52', '918']
