['513', '820', '201', '185', '206', '778', '969']
['423', '952', '232', '115', '236', '933', '628']
['124', '543', '970', '260', '171', '565', '109']
['44', '184', '203', '247', '303', '782', '789']
['892', '477', '641', '458', '455', '70', '667']
['725', '428', '219', '897', '456', '681', '904']
['695', '49', '197', '154', '291', '104', '52']
['283', '766', '678', '106', '17', '333', '238']
['856', '284', '518', '522', '150', '845', '175']
['931', '1', '31', '97', '112', '714', '732']
['807', '321', '223', '743', '765', '395', '879']
['138', '680', '492', '731', '523', '843', '318']
['372', '478', '344', '369', '774', '207', '182']
['712', '704', '672', '609', '346', '727', '624']
['245', '783', '656', '376', '870', '188', '708']
['517', '335', '770', '298', '65', '919', '836']
['851', '922', '775', '66', '293', '638', '9']
['98', '191', '563', '754', '158', '353', '225']
['784', '418', '476', '385', '139', '873', '556']
['354', '767', '12', '389', '645', '177', '738']
['489', '691', '127', '96', '821', '966', '342']
['527', '190', '878', '19', '483', '11', '544']
['121', '498', '131', '682', '53', '271', '566']
['78', '306', '902', '399', '600', '698', '618']
['42', '895', '268', '849', '338', '7', '719']
['815', '575', '623', '646', '861', '365', '863']
['60', '504', '202', '817', '74', '313', '87']
['715', '758', '787', '195', '258', '589', '570']
['526', '392', '204', '860', '601', '688', '886']
['559', '598', '218', '133', '331', '626', '73']
['572', '747', '752', '224', '266', '129', '309']
['947', '462', '781', '352', '939', '101', '254']
['374', '547', '56', '267', '166', '83', '89']
['707', '120', '831', '822', '750', '208', '72']
['587', '684', '435', '450', '360', '393', '41']
['594', '882', '896', '119', '253', '850', '316']
['876', '760', '301', '394', '359', '593', '336']
['427', '768', '33', '485', '880', '799', '501']
['792', '899', '457', '888', '666', '317', '779']
['304', '422', '816', '210', '748', '136', '829']
['891', '10', '181', '364', '927', '617', '827']
['776', '178', '286', '216', '627', '928', '716']
['929', '534', '368', '857', '488', '898', '599']
['137', '694', '179', '839', '217', '110', '644']
['282', '337', '793', '252', '350', '297', '713']
['785', '862', '148', '925', '240', '948', '37']
['35', '824', '531', '221', '834', '580', '196']
['242', '772', '453', '169', '670', '81', '382']
['398', '280', '696', '461', '363', '630', '362']
['289', '495', '472', '871', '292', '912', '651']
['972', '95', '332', '848', '951', '619', '192']
['853', '907', '351', '68', '842', '788', '416']
['430', '525', '780', '502', '230', '639', '521']
['486', '39', '419', '310', '668', '433', '828']
['156', '380', '542', '231', '846', '650', '621']
['586', '808', '677', '186', '664', '847', '326']
['519', '43', '484', '229', '159', '826', '415']
['958', '211', '378', '959', '439', '440', '255']
['355', '274', '562', '473', '474', '172', '348']
['540', '894', '308', '620', '183', '319', '893']
['239', '105', '541', '576', '152', '751', '511']
['164', '739', '963', '27', '642', '262', '180']
['431', '655', '445', '448', '413', '590', '147']
['597', '324', '34', '61', '421', '425', '647']
['868', '36', '93', '539', '459', '500', '832']
['710', '858', '99', '187', '579', '830', '174']
['367', '771', '918', '844', '615', '806', '634']
['90', '69', '160', '660', '763', '88', '937']
['405', '396', '13', '911', '794', '371', '606']
['249', '16', '314', '884', '942', '514', '155']
['285', '323', '481', '520', '693', '480', '825']
['270', '726', '30', '3', '167', '567', '162']
['244', '358', '699', '446', '463', '62', '257']
['2', '920', '809', '288', '595', '379', '761']
['591', '212', '971', '633', '762', '926', '663']
['855', '21', '23', '261', '465', '46', '200']
['349', '941', '86', '669', '132', '259', '357']
['569', '444', '581', '887', '91', '24', '906']
['79', '48', '635', '32', '636', '58', '659']
['168', '397', '612', '8', '797', '18', '724']
['130', '536', '377', '329', '468', '574', '107']
['163', '940', '373', '149', '265', '546', '447']
['264', '113', '226', '881', '157', '151', '800']
['661', '613', '250', '729', '454', '759', '305']
['865', '277', '930', '144', '345', '819', '700']
['47', '390', '189', '287', '243', '386', '740']
['961', '443', '554', '15', '220', '953', '903']
['764', '64', '356', '674', '490', '603', '20']
['412', '82', '85', '4', '804', '553', '294']
['117', '796', '103', '558', '625', '548', '728']
['756', '798', '637', '114', '464', '227', '328']
['272', '530', '503']
['198']
['126']
['141']
['901']
