['RQZPM', 'NKCOJ', 'LCHJI', 'KUMCW', 'PSZDK']
['NSDMC', 'OTQON', 'FEUEQ', 'MTCGB', 'GWJWE']
['CPTCX', 'WHRVK', 'UZKCN', 'JEBNF', 'XBLXM']
['CIILB', 'EWNSH', 'FELNZ', 'TNZEA', 'KSCIB']
['LPHWP', 'AILUZ', 'ECNTU', 'JQBSO', 'OQSOU']
['FDGQA', 'GAEKQ', 'OXRUQ', 'NVSYK', 'JAFZN']
['MWVBQ', 'SPHAJ', 'RWZXF', 'AWDBE', 'UCQZE']
['EHHWX', 'VATRQ', 'RFWKF', 'IRAUO', 'LIQGP']
['ZHVLK', 'NLRBO', 'ZNMAJ', 'PXCKJ', 'PGHQU']
['OMYLR', 'EYFRR', 'QCRLR', 'ZJPJO', 'BVCTY']
['GCQTP', 'RURLC', 'WPGRW', 'XXFSV', 'IGUWL']
['GEQFC', 'MQDQQ', 'NUSHB', 'QVNNO', 'QQUYY']
